"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230"
"168",1,0.25,1,6,0,8,0,0,4,0,8,0,0,0,1,3,0,1,2,1,0,5,1,7,0,0,3,0,0,3,0,7,0,2,0,2,0,0,0,2,16,0,1,0,1,0,2,0,0,2,0,9,0,1,1,0,0,0,4,0,0,3,5,0,5,5,0,0,0,1,3,0,0,0,6,6,0,23,0,2,0,3,0,0,5,12,6,5,0,7,0,0,0,1,18,18,13,0,0,2,2,9,0,0,5,1,1,4,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,6,1,1,6,4,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,2,0,1,0,4,3,1,3,0,1,0,0,1,0,0,3,0,0,0,0,0,1,3,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,4,2,4,8,6,5,3,3,4,4,0,0,0,0,1,0,6,0,0,1,0
"169",0,0.5,1,0,0,14,0,0,3,0,5,0,0,0,5,3,0,1,3,0,0,5,0,3,0,2,2,0,0,0,0,3,0,0,0,1,0,1,0,0,10,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,9,0,4,6,0,0,2,0,9,0,0,0,3,3,0,5,0,1,0,4,0,0,1,0,3,0,0,2,0,0,0,6,6,10,12,0,0,0,0,5,0,0,0,0,0,0,3,16,0,0,0,3,0,0,0,1,1,0,0,1,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,16,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,5,0,5,5,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0
"170",0.5,1,1,0,0,1,1,0,1,0,3,0,0,0,0,8,0,2,4,2,0,11,0,3,0,3,2,0,0,3,0,1,0,3,0,4,0,0,0,0,9,0,2,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,2,0,4,5,0,0,0,0,2,0,0,0,6,5,0,17,0,1,0,2,0,0,7,2,7,7,0,0,0,0,0,1,18,16,12,0,1,3,3,12,1,0,0,2,3,3,2,2,34,0,0,2,0,0,0,0,3,1,0,0,0,2,2,0,5,7,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,1,1,0,12,0,0,11,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,1,0,0,1,0,0,12,2,8,8,5,3,4,2,2,2,0,0,0,0,0,1,5,0,0,1,0
"171",0,0,1,0,0,10,2,0,2,12,3,0,0,0,6,11,0,0,4,0,0,1,0,2,0,1,2,2,0,3,0,4,0,3,0,5,0,0,0,9,6,0,2,0,0,1,10,1,0,0,0,1,0,1,0,0,1,0,7,0,0,3,4,0,2,6,0,0,1,0,4,5,0,0,3,2,0,10,0,0,0,4,0,0,2,1,5,0,0,4,0,0,3,6,8,14,23,0,1,2,6,7,0,0,0,0,2,2,1,5,2,0,1,3,0,0,0,1,3,0,0,1,1,13,1,1,4,4,0,0,0,0,0,0,0,4,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,4,0,0,0,1,0,4,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,4,0,3,5,2,6,4,2,0,0,0,0,0,0,3,0,0,0,0
"172",0.5,0,1,1,0,4,0,0,6,0,1,0,0,0,1,5,0,0,5,0,0,0,0,1,0,2,3,0,0,5,0,5,0,8,0,3,0,0,0,1,6,0,1,0,1,3,0,0,0,0,0,4,0,1,0,0,0,0,7,0,1,2,12,0,4,5,1,2,0,0,5,0,0,0,4,5,0,16,0,6,0,1,0,0,1,5,5,7,0,1,0,0,0,2,16,18,20,0,2,1,1,1,0,0,0,1,9,6,2,7,12,0,1,2,0,0,0,0,1,0,0,0,0,3,2,0,5,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,1,0,1,3,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,9,0,0,3,1,0,0,0,0,0,3,0,0,0,0,6,2,2,4,3,4,2,8,9,8,0,0,0,0,0,0,5,0,0,0,0
"173",0.25,0,0,0,0,10,0,0,3,7,1,0,0,2,4,25,0,1,3,0,0,4,0,14,0,6,1,0,0,0,0,6,0,2,0,2,0,0,0,0,8,0,2,0,0,1,3,0,0,0,0,5,0,1,0,0,1,0,6,0,5,0,6,0,8,8,0,0,2,0,0,0,0,0,1,1,0,7,0,1,0,2,0,0,3,1,3,1,0,5,0,0,2,3,4,2,10,0,1,0,7,9,0,0,0,0,0,1,4,10,0,0,0,2,0,0,0,0,0,1,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,7,0,0,3,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,1,2,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,2,1,3,5,5,11,6,1,0,0,0,0,0,0,2,0,0,0,0
"174",0,0,1,0,0,7,0,0,0,1,3,0,0,2,7,5,0,0,5,0,0,2,1,8,0,1,0,0,0,0,0,5,0,7,0,2,0,0,0,0,4,0,1,0,0,1,2,0,0,0,0,4,0,0,0,0,1,0,6,0,1,0,5,0,6,6,0,0,1,0,5,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,3,2,0,5,0,0,0,5,3,6,11,0,0,2,3,6,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,1,1,0,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,5,5,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0
"175",0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,2,0,7,0,0,2,0,0,6,0,8,0,3,0,3,0,0,1,0,9,0,1,0,2,0,0,0,0,0,0,5,2,0,0,0,0,0,11,0,6,0,9,0,4,7,1,0,0,0,6,0,0,0,1,6,0,4,0,0,0,5,0,0,1,3,5,8,0,2,1,1,0,0,13,6,13,0,0,1,5,12,2,0,7,0,0,5,4,2,0,0,0,0,0,0,0,1,2,1,0,0,0,4,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,2,1,0,1,0,1,3,0,2,13,1,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,3,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,5,2,1,0,6,5,5,2,1,0,0,0,0,0,0,0,6,0,0,0,0
"176",0,0,0,0,0,15,0,0,1,2,2,0,0,1,5,3,0,1,5,0,0,0,0,5,0,0,2,2,0,2,0,1,0,0,0,2,1,0,0,1,8,0,1,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,9,0,0,1,3,0,5,9,0,1,1,1,6,0,0,0,4,1,0,6,0,1,0,0,0,0,1,7,4,3,0,2,0,0,2,8,3,7,10,0,0,1,3,5,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,3,2,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,1,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,6,6,8,3,0,4,0,0,0,0,0,0,5,0,0,0,0
"177",0.25,0.25,0,0,0,4,0,0,2,0,4,0,0,0,4,7,0,0,5,4,0,3,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,7,0,1,0,0,1,3,0,0,0,0,2,0,2,1,0,1,0,4,0,0,0,4,0,5,6,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,1,1,2,0,0,2,0,0,0,3,1,2,12,0,1,2,2,8,3,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,1,2,0,1,0,3,0,0,2,3,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,0,1,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,4,2,4,5,1,1,0,2,0,0,0,0,0,0,2,0,0,1,0
"178",1,0,0,0,0,9,0,0,0,0,4,0,0,0,8,1,0,0,0,0,0,3,1,4,0,7,2,0,0,3,0,4,0,0,0,2,0,0,0,1,8,0,1,0,1,2,2,0,0,0,0,4,0,1,1,0,0,0,5,0,4,1,6,0,0,6,0,0,1,0,4,0,0,0,0,4,0,1,0,0,0,0,0,0,1,7,4,0,0,1,0,0,0,2,0,6,16,0,1,2,4,4,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,3,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,2,4,3,5,6,0,0,0,0,0,0,0,0,2,0,0,0,0
"179",0,1,0,0,0,8,0,0,1,0,4,0,0,0,6,11,0,0,3,0,0,0,0,5,0,4,2,0,0,0,0,3,0,3,0,2,2,0,0,1,8,0,0,0,2,3,2,0,0,0,0,0,0,2,0,0,4,0,4,0,0,3,2,0,5,7,0,0,3,0,11,0,0,0,0,1,0,1,0,1,0,2,0,0,3,4,8,3,0,3,0,0,0,6,12,7,12,0,0,2,4,18,0,0,0,0,1,3,1,4,0,0,0,2,0,0,0,1,2,0,0,0,7,5,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,10,1,0,0,0,0,1,0,18,7,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,5,8,3,3,5,2,0,0,1,0,0,0,0,0,0,6,0,0,0,0
"180",0,1,0,0,0,6,1,0,5,1,5,0,0,0,5,5,0,1,1,0,0,0,0,5,0,0,2,0,0,1,0,6,0,3,0,5,0,0,0,2,2,0,2,0,1,0,3,0,0,1,1,5,0,2,0,0,0,0,8,0,1,3,6,0,2,10,1,0,1,0,5,0,1,0,10,8,0,30,0,1,0,2,0,1,8,5,10,12,0,2,0,0,0,0,43,16,12,0,1,2,2,6,0,0,1,2,4,3,3,0,2,0,0,1,0,0,0,0,3,1,0,0,0,10,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,0,15,0,1,11,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,4,2,0,2,1,1,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,14,3,8,14,5,5,5,7,8,10,0,0,0,0,1,0,7,0,0,2,0
"181",1,0,1,0,0,5,0,0,2,5,4,0,0,0,5,9,0,0,6,1,0,0,0,5,0,4,4,0,0,0,0,1,0,0,0,8,0,0,0,2,7,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,3,0,2,0,2,0,5,0,3,7,0,0,2,0,2,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,5,2,0,4,0,0,6,3,3,4,7,0,0,0,2,3,0,0,0,1,0,1,3,11,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,5,4,7,0,5,0,1,0,0,0,0,8,0,0,1,0
"182",0,0,0,1,0,7,0,0,0,0,3,0,0,0,3,2,0,0,6,0,0,0,0,2,0,9,3,0,0,1,0,14,0,6,0,1,0,0,0,0,8,0,1,0,1,0,2,1,0,0,0,1,0,1,0,1,10,0,6,0,3,3,5,0,4,6,0,0,2,0,3,0,0,0,2,4,0,3,0,0,0,2,0,0,5,8,3,4,0,3,1,0,0,10,10,4,9,0,1,1,6,9,0,0,0,0,1,1,1,0,0,0,0,3,3,0,0,0,3,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,7,1,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,2,1,5,6,9,4,12,1,0,0,0,0,0,0,10,1,1,0,0
"183",1,0.25,1,1,0,3,0,0,6,0,0,0,0,0,0,9,0,2,1,2,0,1,0,1,0,3,2,1,0,6,0,4,0,7,0,1,0,0,0,1,7,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,2,0,10,0,5,2,2,0,0,1,0,0,1,0,3,8,0,0,0,7,0,2,0,2,0,1,0,0,0,2,2,0,0,3,0,0,0,4,5,8,8,0,0,2,6,9,0,0,0,1,0,2,3,1,0,0,0,1,1,0,0,0,2,0,1,0,0,7,0,0,3,10,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,4,1,3,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,8,0,0,8,1,5,3,4,5,2,3,7,5,0,0,0,0,0,0,5,0,0,2,0
"184",0,0,1,0,0,3,0,0,2,0,2,0,0,0,4,5,0,0,1,0,0,4,0,0,0,8,0,0,0,1,0,4,0,2,0,2,0,0,0,1,5,0,3,0,1,0,3,0,0,0,0,5,0,0,0,0,3,0,4,0,5,2,5,0,3,5,0,0,3,0,4,0,0,0,0,4,0,5,0,0,0,6,0,0,8,5,3,6,0,6,0,0,0,2,20,6,13,0,1,3,1,8,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,5,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,7,2,2,0,0,0,3,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,1,2,1,3,5,10,7,0,0,0,0,0,0,7,0,10,0,0,0,0
"185",0,0,0,0,0,1,0,0,3,0,3,0,2,0,6,2,0,0,2,2,0,5,0,1,0,2,2,1,0,1,0,8,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,6,0,0,1,6,4,0,4,0,0,0,3,0,3,3,0,0,1,0,2,0,0,0,0,2,0,2,0,1,0,7,0,0,10,1,2,4,0,6,0,0,0,3,8,2,11,0,2,0,2,4,2,5,0,1,2,1,4,0,0,0,1,0,0,0,0,2,1,1,1,0,0,9,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,3,1,3,5,2,2,1,0,0,0,0,0,0,0,3,0,0,3,0
"186",0.25,0.25,0,0,0,7,0,0,1,0,4,0,0,1,4,10,0,1,0,1,0,0,1,8,0,0,0,0,0,1,0,3,0,3,0,0,0,2,0,0,4,0,1,0,1,3,0,0,0,4,0,1,0,0,0,1,1,0,5,0,2,2,3,0,6,5,1,0,2,0,4,0,0,0,0,8,0,6,0,1,0,1,0,0,1,2,0,1,0,4,0,0,0,1,1,5,15,0,1,0,1,9,0,0,0,0,3,1,3,22,7,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,2,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,3,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,3,0,4,4,3,2,4,5,0,0,0,0,0,0,8,0,0,1,0
"187",1,1,0,0,0,5,0,0,1,0,3,0,0,0,2,1,0,1,2,0,0,5,0,2,0,1,3,0,0,3,0,2,0,1,0,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7,0,6,0,1,0,2,5,3,0,0,0,3,0,0,0,3,1,0,11,0,1,0,2,0,0,1,5,7,8,0,2,0,0,0,0,9,10,4,0,0,0,1,14,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,6,0,0,11,3,0,2,0,0,0,0,0,1,0,0,0,1,3,0,2,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,10,1,9,4,4,5,2,1,2,4,0,0,0,0,0,0,7,0,0,0,0
"188",0,1,1,1,0,7,0,0,0,0,4,0,0,1,0,1,0,2,5,0,0,4,0,5,0,3,1,1,0,5,0,3,0,3,0,5,0,0,0,1,9,0,2,0,2,2,1,1,0,2,0,3,0,0,2,0,4,0,6,0,8,0,9,0,3,1,1,1,0,0,3,1,0,0,0,4,0,2,0,0,0,1,0,0,2,9,12,7,0,3,0,0,0,4,11,13,10,0,0,3,6,9,0,0,0,0,48,6,11,5,0,0,0,0,0,0,0,1,2,1,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,4,3,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6,0,4,4,1,2,3,5,5,4,7,0,7,1,0,0,0,6,0,11,0,0,0,0
"189",0,1,0,0,0,9,0,0,0,0,0,0,1,0,2,3,0,1,2,0,0,4,0,5,0,1,2,2,0,2,0,2,0,4,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,3,3,0,0,6,6,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,1,0,0,2,4,1,0,0,5,0,0,0,0,5,13,11,0,0,2,2,5,0,0,0,0,1,2,2,2,0,0,0,1,0,0,0,2,3,3,1,0,0,11,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3,0,0,1,0,1,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,8,2,3,4,4,6,3,1,2,1,0,0,0,0,0,0,3,0,0,0,0
"190",0,1,0,0,0,9,0,0,3,0,0,0,0,0,0,2,0,0,1,5,0,2,0,2,0,2,5,0,0,0,0,2,0,3,0,3,0,0,1,1,20,0,5,0,0,0,5,0,0,6,0,5,0,0,0,0,0,0,7,0,3,1,4,0,0,3,0,0,0,0,5,0,0,0,1,7,0,5,0,0,0,1,0,0,6,3,4,5,0,1,0,0,0,0,14,13,9,0,1,0,3,10,0,0,4,3,6,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,5,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,3,0,4,3,4,5,7,3,4,1,0,0,0,0,0,0,5,0,0,0,0
"191",0,0.5,0,2,0,4,0,0,4,0,7,0,3,0,1,0,0,0,4,0,0,4,0,6,0,5,3,0,0,0,0,6,0,0,0,4,0,0,0,1,1,0,2,0,1,3,4,0,0,1,0,0,0,0,1,0,0,0,2,0,3,1,0,0,9,8,0,0,0,1,8,0,0,0,0,1,0,14,0,0,0,2,0,0,7,9,8,9,0,2,0,0,0,4,20,13,11,0,4,0,1,7,1,0,1,0,0,1,3,2,0,0,0,1,0,0,0,0,2,1,0,0,0,7,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,2,2,3,3,5,8,1,3,2,0,0,0,0,3,1,4,0,0,0,0
"192",0,0.5,0,0,0,11,0,0,1,2,3,0,0,0,5,8,0,0,1,1,0,4,1,1,0,3,3,0,0,0,1,2,0,5,0,6,0,0,0,2,12,0,4,0,3,1,9,0,0,0,0,3,0,0,1,0,0,0,4,0,1,2,5,0,5,4,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,0,3,0,0,3,1,7,2,18,0,0,0,2,10,6,0,0,0,0,0,5,1,0,0,2,2,0,0,0,0,1,2,0,0,0,9,0,0,3,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,7,1,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,2,7,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,4,1,3,4,3,1,4,2,0,0,0,0,1,0,2,0,0,1,0
"193",0,0,1,1,0,11,0,0,0,0,2,0,0,1,4,4,0,0,2,0,0,0,0,11,0,4,4,1,0,0,0,0,0,5,0,3,0,0,0,0,6,0,2,0,2,2,1,0,0,4,0,2,0,0,1,0,2,0,4,0,8,2,8,0,8,6,0,0,2,0,7,0,0,0,1,5,0,1,0,1,0,4,0,0,0,3,2,5,0,1,0,1,2,6,9,3,24,0,0,1,10,16,1,0,0,0,1,3,4,6,0,0,9,4,0,0,0,2,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,3,6,5,3,0,2,0,0,0,0,0,0,5,0,0,0,0
"194",0,0.5,0,0,0,4,0,0,3,0,5,0,0,0,3,8,0,1,1,0,0,1,0,15,0,1,1,0,0,4,0,3,0,1,0,3,1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,6,0,1,1,10,0,2,10,0,0,0,0,5,0,0,0,0,5,0,4,0,0,0,4,0,0,1,2,0,2,0,2,0,0,0,1,7,8,18,0,0,0,2,12,0,0,0,0,0,2,2,7,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,2,1,2,0,1,0,0,0,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,12,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,7,0,0,6,1,6,1,2,5,3,1,1,1,0,0,0,0,0,0,3,0,0,2,0
"195",0.25,0.25,1,0,0,11,0,0,3,2,1,0,0,1,2,0,0,1,2,3,0,1,0,1,0,9,4,0,0,0,0,6,0,5,0,0,1,0,1,0,2,0,1,0,5,0,1,0,0,9,0,1,0,0,0,0,0,0,5,0,0,3,3,0,6,7,0,0,0,0,1,0,1,0,1,7,0,8,0,2,0,0,0,0,4,3,12,3,1,3,0,0,0,1,32,12,10,0,1,4,3,4,0,0,1,3,0,5,1,0,23,0,0,2,0,0,0,1,5,2,0,0,0,8,4,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,3,6,3,5,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
